Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,136.3125,-151.67,180.0,top
C2,0.1uF,C_0402_1005Metric,133.2,-115.0,180.0,top
C3,47uF,CP_Elec_6.3x5.4,115.6,-108.6,90.0,top
C4,10uF,C_1206_3216Metric,122.2,-108.5,-90.0,top
C5,10uF,C_1206_3216Metric,125.1,-108.5,-90.0,top
C6,1uF,C_0603_1608Metric,127.8,-108.5,90.0,top
C7,0.1uF,C_0402_1005Metric,133.1,-129.0,180.0,top
C8,0.1uF,C_0402_1005Metric,133.1,-143.0,180.0,top
DC_IN1,DC_CTRL,PinHeader_1x02_P2.54mm_Vertical,149.9,-154.87,0.0,top
GND,Ground Pins,PinHeader_1x02_P2.54mm_Vertical,102.3,-120.33,0.0,top
IC1,DRV8411PWPR,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.66x2.46mm,138.027903,-113.975,180.0,top
IC2,DRV8411PWPR,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.66x2.46mm,138.0,-127.96,180.0,top
IC3,DRV8411PWPR,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.66x2.46mm,138.0,-142.0,180.0,top
J3,DC_OUT,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,104.7775,-154.2,-90.0,top
R1,30k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.9125,-151.17,0.0,top
R10,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.9,-137.3,90.0,top
R2,100m,R_1206_3216Metric,140.227903,-118.1,0.0,top
R3,100m,R_1206_3216Metric,135.672097,-118.1,0.0,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141.0,-109.3,90.0,top
R5,100m,R_1206_3216Metric,140.5,-132.1,0.0,top
R6,100m,R_1206_3216Metric,135.9,-132.1,0.0,top
R7,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.9,-123.3,90.0,top
R8,100m,R_1206_3216Metric,140.1,-146.2,0.0,top
R9,100m,R_1206_3216Metric,135.5,-146.2,0.0,top
STP1,STP1_CTRL,PinHeader_1x06_P2.54mm_Vertical,102.2,-137.6,180.0,top
STP2,STP2_CTRL,PinHeader_1x06_P2.54mm_Vertical,107.15,-137.6,180.0,top
STP3,STP3_CTRL,PinHeader_1x06_P2.54mm_Vertical,112.1,-137.6,180.0,top
U1,DRV8871DDA,VREG_LM5017MR_NOPB,138.04,-154.885,180.0,top
