"Reference","Qty","Value","DNP","Exclude from Board","Footprint","Manufacturer","PartNumber"
"C1,C2,C7,C8","4","0.1uF","","","Capacitor_SMD:C_0402_1005Metric","MuRata","GRM155R71H104KE14D "
"C3","1","47uF","","","Capacitor_SMD:CP_Elec_6.3x5.4","FOSAN","FVH035ADA470M0654"
"C4,C5","2","10uF","","","Capacitor_SMD:C_1206_3216Metric","TDK","C3216X7R1C106KT000N "
"C6","1","1uF","","","Capacitor_SMD:C_0603_1608Metric","MuRata","GRT188R61H105ME13D"
"DC_IN1","1","DC_CTRL","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","",""
"IC1,IC2,IC3","3","DRV8411PWPR","","","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.66x2.46mm","Texas Instruments","DRV8411PWPR"
"J1","1","POWER_IN","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal","Same Sky (Formerly CUI Devices)","TB0012-508-02GR"
"J2","1","Ground Pins","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","",""
"J3","1","DC_OUT","","","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal","Same Sky (Formerly CUI Devices)","TB0012-508-02GR"
"R1","1","30k","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","     UNI-ROYAL(Uniroyal Elec) ","0805W8F3002T5E"
"R2,R3,R5,R6,R8,R9","6","100m","","","Resistor_SMD:R_1206_3216Metric","     UNI-ROYAL(Uniroyal Elec) ","1206W4F100LT5E"
"R4,R7,R10","3","1k","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","     UNI-ROYAL(Uniroyal Elec) ","0805W8F1001T5E"
"STP1","1","STP1_CTRL","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Sullins Connector Solutions",""
"STP1_OUT1","1","STP1_OUT","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"STP2","1","STP2_CTRL","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Sullins Connector Solutions",""
"STP2_OUT1","1","STP2_OUT","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"STP3","1","STP3_CTRL","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Sullins Connector Solutions",""
"STP3_OUT1","1","STP3_OUT","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21","21","TestPoint","DNP","Excluded from board","TestPoint:TestPoint_Keystone_5019_Miniature","Keystone Electronics",""
"U1","1","DRV8871DDA","","","Kicad_TitoSync_Footprints:VREG_LM5017MR_NOPB","Texas Instruments","DRV8871DDA"
