Comment,Designator,Footprint,LCSC,Quantity
0,R16,R_0402_1005Metric,C844711,1
10,"R6,R8",R_0402_1005Metric,C481926,2
102k,"R12,R15,R2",R_0402_1005Metric,C481920,3
10m,R9,R_1206_3216Metric,C5629523,1
11.3k,R3,R_0402_1005Metric,C481933,1
115k,R11,R_0402_1005Metric,C2076632,1
12.7k,R18,R_0402_1005Metric,C481941,1
147k,R10,R_0402_1005Metric,C843891,1
150k,R5,R_0402_1005Metric,C481951,1
15k,R7,R_0402_1005Metric,C191587,1
2.7,R22,R_0402_1005Metric,C482122,1
4.7uH,L1,L_Coilcraft_XAL7070-XXX,C3911513,1
4.99k,"R13,R14",R_0402_1005Metric,C482195,2
49.9,R1,R_0402_1005Metric,C482189,1
49.9k,"R17,R21,R4",R_0402_1005Metric,C350874,3
Conn_01x02,"J10,J2,J8",PinHeader_1x02_P2.54mm_Vertical,C52016390,3
Conn_01x03,"J3,J7,J9",PinHeader_1x03_P2.54mm_Vertical,C52016391,3
FS1403-5000-AL,U2,FS1403_TDK,C6253250,1
TPS551892QWRYQRQ1,U1,VQFN21_RYQ_TEX,C42116949,1
TestPoint,"TP1,TP11,TP2,TP3,TP4,TP7,TP8,TP9",TestPoint_Keystone_5019_Miniature,C238131,8
1uF,C20,C_0603_1608Metric,,1
0.1uF,C28,C_0402_1005Metric,,1
5Vout,J5,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,,1
22uF,C30,C_1206_3216Metric,,1
0.01uF,C1,C_0402_1005Metric,,1
0.1uF,C24,C_0402_1005Metric,,1
0.1uF,C2,C_0402_1005Metric,,1
0.1uF,C4,C_0603_1608Metric,,1
2.2uF,C32,C_1206_3216Metric,,1
10uF,C10,C_1206_3216Metric,,1
10uF,C18,C_1206_3216Metric,,1
100uF,C9,CP_Elec_6.3x5.8,,1
0.1uF,C15,C_0402_1005Metric,,1
Battery,J1,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,,1
22uF,C27,C_1206_3216Metric,,1
10uF,C11,C_1206_3216Metric,,1
4.7uF,C5,C_0603_1608Metric,,1
68uF,C17,CP_Elec_8x10,,1
1uF,C35,C_0603_1608Metric,,1
10uF,C12,C_1206_3216Metric,,1
12Vout,J4,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,,1
1uF,C13,C_0603_1608Metric,,1
4700pF,C8,C_0402_1005Metric,,1
0.1uF,C22,C_0402_1005Metric,,1
0.01uF,C31,C_0402_1005Metric,,1
68uF,C33,CP_Elec_8x10,,1
10uF,C19,C_1206_3216Metric,,1
22uF,C26,C_1206_3216Metric,,1
100pF,C7,C_0402_1005Metric,,1
22uF,C29,C_1206_3216Metric,,1
0.1uF,C34,C_0402_1005Metric,,1
0.1uF,C3,C_0603_1608Metric,,1
0.01uF,C23,C_0402_1005Metric,,1
1uF,C16,C_0603_1608Metric,,1
0.01uF,C25,C_0402_1005Metric,,1
0.1uF,C6,C_0402_1005Metric,,1
0.1uF,C21,C_0402_1005Metric,,1
0.1uF,C14,C_0402_1005Metric,,1
